Node,Label,SGD,OGEE,DEG,SOD,essential
TS(AGA)J,tRNA gene,0,0,0,0,0
TS(UGA)P,tRNA gene,0,0,0,0,0
YOR117W,ORF-V,1,1,1,3,1
YHR150W,ORF-V,0,0,0,0,0
SNR56,snoRNA gene,0,0,0,0,0
YHR026W,ORF-V,0,0,0,0,0
YGL082W,ORF-U,0,0,0,0,0
YLR361C,ORF-V,0,0,0,0,0
YIL066C,ORF-V,0,0,0,0,0
YLR001C,ORF-U,0,0,0,0,0
YKL156W,ORF-V,0,0,0,0,0
YPL227C,ORF-V,0,0,0,0,0
YJLWDELTA16,LTR,0,0,0,0,0
YOR209C,ORF-V,0,0,0,0,0
YDL193W,ORF-V,1,1,1,3,1
YOR072W,ORF-U,0,0,0,0,0
YML095C,ORF-V,0,0,0,0,0
YLR360W,ORF-V,0,0,0,0,0
YGR022C,ORF-DU,0,0,0,0,0
YDR383C,ORF-V,0,0,0,0,0
YMR015C,ORF-V,0,0,0,0,0
YMLWDELTA4,LTR,0,0,0,0,0
YBR300C,ORF-DU,0,0,0,0,0
YOR235W,ORF-U,0,0,0,0,0
YPL257W,ORF-U,0,0,0,0,0
YNL322C,ORF-V,0,0,0,0,0
YML010W-A,ORF-DU,0,0,0,0,0
YDL106C,ORF-V,0,0,0,0,0
TL(GAG)G,tRNA gene,0,0,0,0,0
YLR183C,ORF-V,0,0,0,0,0
YDR516C,ORF-V,0,0,0,0,0
YGL258W,ORF-V,0,0,0,0,0
YPL214C,ORF-V,0,0,0,0,0
YAR019C,ORF-V,1,1,1,3,1
YDR327W,ORF-DU,1,1,0,2,1
YOL143C,ORF-V,0,0,0,0,0
YDR339C,ORF-V,1,1,1,3,1
YCL052C,ORF-V,1,1,1,3,1
YCR020W-B,ORF-V,0,0,0,0,0
YHL030w-a,ORF-DU,0,0,0,0,0
YDR370C,ORF-V,0,0,0,0,0
YDR121W,ORF-V,0,0,0,0,0
YBR255W,ORF-V,0,0,0,0,0
YLR056W,ORF-V,0,0,0,0,0
YLR420W,ORF-V,0,0,0,0,0
TR(CCG)L,tRNA gene,0,0,0,0,0
YPL152W,ORF-V,0,0,0,0,0
YGR007W,ORF-V,0,0,0,0,0
YAR069C,ORF-DU,0,0,0,0,0
YML013C-A,ORF-DU,0,0,0,0,0
YER146W,ORF-V,1,0,1,2,1
YDR494W,ORF-V,0,0,0,0,0
YKL183W,ORF-V,0,0,0,0,0
YCR067C,ORF-V,0,0,0,0,0
YMR294W,ORF-V,0,0,0,0,0
YOLCDELTA8,LTR,0,0,0,0,0
YHR063w-a,ORF-DU,0,0,0,0,0
YPL274W,ORF-V,0,0,0,0,0
YERCTAU2,LTR,0,0,0,0,0
TR(ACG)K,tRNA gene,0,0,0,0,0
YGR148C,ORF-V,0,0,0,0,0
YDR417C,ORF-DU,0,0,0,0,0
YJRWDELTA20,LTR,0,0,0,0,0
YML054C,ORF-V,0,0,0,0,0
YGR174C,ORF-V,0,0,0,0,0
YJL044C,ORF-V,0,0,0,0,0
YFL035C,ORF-V,0,0,0,0,0
YMR040W,ORF-V,0,0,0,0,0
YBR201W,ORF-V,0,0,0,0,0
YJL218W,ORF-U,0,0,0,0,0
YLR314C,ORF-V,1,1,1,3,1
YHR053C,ORF-V,0,0,0,0,0
YDR458C,ORF-V,0,0,0,0,0
YOR314W,ORF-U,0,0,0,0,0
YKL205W,ORF-V,1,0,1,2,1
YJL089W,ORF-V,0,0,0,0,0
YIR029W,ORF-V,0,0,0,0,0
YLR256W,ORF-V,0,0,0,0,0
YCR030C,ORF-V,0,0,0,0,0
YGR069W,ORF-DU,0,0,0,0,0
YFL016C,ORF-V,0,0,0,0,0
YERCDELTA24,LTR,0,0,0,0,0
YBR202W,ORF-V,1,1,1,3,1
YHL003C,ORF-V,0,0,0,0,0
YMR169C,ORF-V,0,0,0,0,0
YNL140C,ORF-U,0,0,0,0,0
YNL300W,ORF-U,0,0,0,0,0
YNL113W,ORF-V,1,1,1,3,1
YIL058W,ORF-DU,0,0,0,0,0
TE(UUC)K,tRNA gene,0,0,0,0,0
YOR303W,ORF-V,0,0,0,0,0
YLR333C,ORF-V,0,0,0,0,0
YDL209C,ORF-V,1,1,1,3,1
YER001W,ORF-V,0,0,0,0,0
YML133C,ORF-U,0,0,0,0,0
YGL189C,ORF-V,1,1,1,3,1
YDLWTAU1,LTR,0,0,0,0,0
YNL296W,ORF-DU,0,0,0,0,0
TR(UCU)J1,tRNA gene,0,0,0,0,0
YLR067C,ORF-V,0,0,0,0,0
YMR079W,ORF-V,1,1,1,3,1
YPR010C,ORF-V,1,1,1,3,1
YOR287C,ORF-V,1,1,1,3,1
YOL118C,ORF-U,0,0,0,0,0
YIR022W,ORF-V,1,1,1,3,1
TI(AAU)L1,tRNA gene,0,0,0,0,0
YOR041C,ORF-DU,0,0,0,0,0
YGR006W,ORF-V,0,0,0,0,0
YLR127C,ORF-V,1,1,1,3,1
YLL027W,ORF-V,0,0,0,0,0
YLR467W,ORF-V,0,0,0,0,0
YBR028C,ORF-V,0,0,0,0,0
YNR036C,ORF-V,0,0,0,0,0
YGL010W,ORF-V,0,0,0,0,0
YGR122W,ORF-V,0,0,0,0,0
YOL011W,ORF-V,0,0,0,0,0
YMRCDELTA13,LTR,0,0,0,0,0
YPL042C,ORF-V,0,0,0,0,0
YIL001W,ORF-U,0,0,0,0,0
YNL064C,ORF-V,0,0,0,0,0
YPL177C,ORF-V,0,0,0,0,0
YPL002C,ORF-V,0,0,0,0,0
YLL004W,ORF-V,1,1,1,3,1
YJR038C,ORF-DU,0,0,0,0,0
YBR148W,ORF-V,0,0,0,0,0
YDR253C,ORF-V,0,0,0,0,0
YML109W,ORF-V,0,0,0,0,0
YBR080C,ORF-V,1,1,1,3,1
YPL244C,ORF-V,0,0,0,0,0
YNR006W,ORF-V,0,0,0,0,0
YPL183W-A,ORF-V,0,0,0,0,0
YMRCTY1-4,LTR,0,0,0,0,0
YER040W,ORF-V,0,0,0,0,0
YMRCDELTA11,LTR,0,0,0,0,0
CEN8,centromere,0,0,0,0,0
YPL045W,ORF-V,1,0,0,1,1
YAL002W,ORF-V,0,0,0,0,0
YCL012W,ORF-M,0,0,0,0,0
YGR030C,ORF-V,1,1,1,3,1
YNRCDELTA8,LTR,0,0,0,0,0
YKL168C,ORF-V,0,0,0,0,0
YNL243W,ORF-V,1,0,0,1,1
YKLWDELTA1,LTR,0,0,0,0,0
YFR054C,ORF-U,0,0,0,0,0
YAL067C,ORF-V,0,0,0,0,0
YJR066W,ORF-V,0,0,0,0,0
YLL056C,ORF-V,0,0,0,0,0
YJL212C,ORF-V,0,0,0,0,0
YOR310C,ORF-V,1,1,1,3,1
YBR144C,ORF-U,0,0,0,0,0
YPR194C,ORF-V,0,0,0,0,0
YPR117W,ORF-U,0,0,0,0,0
YMR301C,ORF-V,1,0,1,2,1
YPR018W,ORF-V,0,0,0,0,0
YBR115C,ORF-V,0,0,0,0,0
YGR209C,ORF-V,0,0,0,0,0
YHR159W,ORF-U,0,0,0,0,0
YNL305C,ORF-V,0,0,0,0,0
YJL120W,ORF-DU,0,0,0,0,0
YMLCDELTA2,LTR,0,0,0,0,0
YKL173W,ORF-V,1,1,1,3,1
YFR026C,ORF-V,0,0,0,0,0
YJR120W,ORF-V,1,0,0,1,1
YEL025C,ORF-U,0,0,0,0,0
YARCTY1-1,LTR,0,0,0,0,0
YDR213W,ORF-V,0,0,0,0,0
YGR168C,ORF-U,0,0,0,0,0
YBR125C,ORF-V,0,0,0,0,0
YPL135W,LTR,0,0,0,0,0
YLR312W-A,ORF-V,0,0,0,0,0
YDL127W,ORF-V,0,0,0,0,0
YBR245C,ORF-V,0,0,0,0,0
YIL100c-a,ORF-DU,0,0,0,0,0
YOR271C,ORF-U,1,0,1,2,1
YJR134C,ORF-V,0,0,0,0,0
YER056C-A,ORF-V,0,0,0,0,0
YER091C-A,ORF-DU,0,0,0,0,0
YER045C,ORF-V,0,0,0,0,0
YKL019W,ORF-V,1,1,1,3,1
YNL027W,ORF-V,0,0,0,0,0
YHR102W,ORF-V,0,0,0,0,0
YGR245C,ORF-V,1,1,1,3,1
YCR051W,ORF-U,0,0,0,0,0
YOR251C,ORF-V,0,0,0,0,0
YJL164C,ORF-V,1,0,1,2,1
YAR031W,ORF-V,0,0,0,0,0
YIL078W,ORF-V,1,1,1,3,1
YOR246C,ORF-V,0,0,0,0,0
YJL149W,ORF-V,0,0,0,0,0
YGL240W,ORF-V,0,0,0,0,0
YFL017W-A,ORF-V,1,1,1,3,1
YPL267W,ORF-V,0,0,0,0,0
YJR037W,ORF-DU,0,0,0,0,0
YHR040W,ORF-V,1,1,1,3,1
YLR417W,ORF-V,0,0,0,0,0
YNL125C,ORF-V,0,0,0,0,0
YDR014W,ORF-V,0,0,0,0,0
YDRCTY1-3,LTR,0,0,0,0,0
YKL095W,ORF-V,1,1,1,3,1
YOR351C,ORF-V,0,0,0,0,0
YOL146W,ORF-V,1,1,1,3,1
YOR263C,ORF-DU,0,0,0,0,0
YPLCDELTA1,LTR,0,0,0,0,0
YGR027C,ORF-V,0,0,0,0,0
YMR304W,ORF-V,0,0,0,0,0
YLL060C,ORF-V,0,0,0,0,0
YCL033C,ORF-V,0,0,0,0,0
YORWDELTA22,LTR,0,0,0,0,0
YOR189W,ORF-V,0,0,0,0,0
YBR108W,ORF-V,0,0,0,0,0
YBR217W,ORF-V,1,0,0,1,1
SNR55,snoRNA gene,0,0,0,0,0
YAL003W,ORF-V,1,1,1,3,1
YBR182C,ORF-V,0,0,0,0,0
YFL063W,ORF-DU,0,0,0,0,0
YBL097W,ORF-V,1,1,1,3,1
YPR107C,ORF-V,1,1,1,3,1
YJL061W,ORF-V,1,1,1,3,1
YMR148W,ORF-V,0,0,0,0,0
YJL121C,ORF-V,0,0,0,0,0
YPR070W,ORF-V,0,0,0,0,0
YGL142C,ORF-V,1,1,1,3,1
YPL248C,ORF-V,0,0,0,0,0
YKL138C,ORF-V,0,0,0,0,0
YML068W,ORF-V,1,0,1,2,1
