Node,Label
YOR389W,ORF-U
YGR081C,ORF-V
YDR179W-A,ORF-V
TG(UCC)N,tRNA gene
YJL053W,ORF-V
YGR021W,ORF-U
YER130C,ORF-V
YML092C,ORF-V
YJL136w-a,ORF-U
YOL117W,ORF-V
TR(CCU)J,tRNA gene
YNL111C,ORF-V
YMR159C,ORF-V
YNR013C,ORF-V
YDL046W,ORF-V
YOL037C,ORF-DU
YDR135C,ORF-V
YDL175C,ORF-V
YHL032C,ORF-V
YOL050C,ORF-DU
YGL259W,ORF-U
YAL043C,ORF-V
YCL044C,ORF-V
YGR267C,ORF-V
YNL173C,ORF-V
YDR537C,ORF-DU
YNL207W,ORF-V
YDR283C,ORF-V
YOR290C,ORF-V
YER019C-A,ORF-V
YNL002C,ORF-V
YGLWDELTA3,LTR
YIR019C,ORF-V
YNL190W,ORF-V
YJL051W,ORF-V
YDR038C,ORF-V
YNL048W,ORF-V
YER185W,ORF-V
YHR044C,ORF-V
YOL085C,ORF-U
YDL188C,ORF-V
YMR086C-A,ORF-DU
YLR452C,ORF-V
YGL045W,ORF-V
YER079W,ORF-U
YPL016W,ORF-V
YGRCDELTA25,LTR
YDL028C,ORF-V
YNL158W,ORF-V
YPR149W,ORF-V
YMRWDELTA15,LTR
YIL146C,ORF-V
YNL295W,ORF-U
YNL050C,ORF-U
YEL041W,ORF-V
YJLWTY4-1,LTR
YLR372W,ORF-V
YBL089W,ORF-V
YGL157W,ORF-V
YDR075W,ORF-V
YDR007W,ORF-V
YGL110C,ORF-V
YJRWTY1-2,LTR
YOR220W,ORF-V
YJR105W,ORF-V
YPL082C,ORF-V
YGL215W,ORF-V
YBR012C,ORF-DU
YLR150W,ORF-V
YLR150W,ORF-V
YPL072W,ORF-V
YBR026C,ORF-V
YJL002C,ORF-V
YMR052W,ORF-V
YDR102C,ORF-U
YGRCDELTA17,LTR
YHL041W,ORF-U
YML011C,ORF-V
YPLCTAU1,LTR
YGR253C,ORF-V
YER147C,ORF-V
YPL154C,ORF-V
YJL217W,ORF-V
YDR441C,ORF-V
YDR023W,ORF-V
YOR173W,ORF-V
YNL334C,ORF-V
YMR320W,ORF-U
YHR142W,ORF-V
YLR419W,ORF-U
YJL090C,ORF-V
YKL100C,ORF-V
YLR087C,ORF-V
YLR261C,ORF-U
YCR027C,ORF-V
YGL239C,ORF-DU
YPLWDELTA7,LTR
YGL202W,ORF-V
YKL211C,ORF-V
YGR121C,ORF-V
YOL096C,ORF-V
YPRCDELTA15,LTR
