index,protein,dc
643,YOR117W,3.6326
644,YNL042W,3.6326
645,YCL054W,3.6326
646,YBR221C,3.6326
647,YMR087W,3.6326
648,YGR097W,3.6326
649,YMR270C,3.6326
650,YHR032W,58.12159999999997
651,YNL189W,10.8978
652,YMR025W,3.6326
653,YBR250W,3.6326
654,YEL037C,7.2652
655,YCR009C,3.6326
656,YHR038W,3.6326
657,YGR253C,18.163
658,YNL047C,3.6326
659,YML006C,14.5304
660,YDR416W,3.6326
661,YER062C,7.2652
662,YDL113C,3.6326
663,YLL052C,3.6326
664,YHR140W,54.488999999999976
665,YGL212W,18.163
666,YDR206W,32.6934
667,YLR368W,3.6326
668,YGL044C,7.2652
669,YDR152W,3.6326
670,YCR005C,3.6326
671,YLR128W,3.6326
672,YMR201C,3.6326
673,YJL001W,7.2652
674,YKL052C,3.6326
675,YNL288W,3.6326
676,YMR291W,3.6326
677,YOR034C,25.4282
678,YKL130C,7.2652
679,YKL095W,3.6326
680,YGR136W,3.6326
681,YGL091C,3.6326
682,YOR070C,3.6326
683,YJL218W,3.6326
684,YLR121C,3.6326
685,YBL102W,3.6326
686,YDR372C,3.6326
687,YOR362C,3.6326
688,YLR352W,7.2652
689,YJL019W,3.6326
690,YOR303W,7.2652
691,YHR129C,3.6326
692,YOR026W,3.6326
693,YLR102C,3.6326
694,YHR100C,3.6326
695,YPR011C,43.591199999999986
696,YER133W,10.8978
697,YGL230C,3.6326
698,YDR357C,3.6326
699,YBR228W,3.6326
700,YJR125C,3.6326
701,YLR258W,3.6326
702,YGR009C,3.6326
703,YLR046C,3.6326
704,YDR195W,3.6326
705,YIL112W,7.2652
706,YDL147W,3.6326
707,YDR299W,3.6326
708,YOR057W,3.6326
709,YNL157W,3.6326
710,YML028W,3.6326
711,YBR252W,3.6326
712,YER021W,3.6326
713,YNL233W,3.6326
714,YJR076C,3.6326
715,YGL158W,3.6326
716,YGL127C,7.2652
717,YNL023C,3.6326
718,YNL244C,21.7956
719,YDL132W,3.6326
720,YML088W,3.6326
721,YKL020C,3.6326
722,YOR007C,10.8978
723,YNL127W,3.6326
724,YHR170W,3.6326
725,YOR292C,3.6326
726,YDR020C,7.2652
727,YDL063C,3.6326
728,YIR006C,3.6326
729,YER019C-A,7.2652
730,YAR031W,18.163
731,YER095W,3.6326
732,YDR061W,3.6326
733,YFL039C,3.6326
734,YLL032C,3.6326
735,YDR463W,3.6326
736,YAL028W,7.2652
737,YLR275W,3.6326
738,YMR004W,3.6326
739,YHR207C,18.163
740,YDL154W,7.2652
741,YMR224C,3.6326
742,YBL105C,3.6326
743,YDL065C,3.6326
744,YMR163C,3.6326
745,YLR078C,3.6326
746,YDR098C,7.2652
747,YDR207C,7.2652
748,YGL112C,7.2652
749,YLR215C,3.6326
750,YKL013C,3.6326
751,YLR135W,7.2652
752,YOR127W,3.6326
753,YGR154C,3.6326
754,YER092W,3.6326
755,YIL008W,7.2652
756,YAL032C,3.6326
757,YDL179W,3.6326
758,YKL039W,3.6326
759,YMR223W,10.8978
760,YHR158C,7.2652
761,YPL151C,3.6326
762,YCR011C,3.6326
763,YDL043C,7.2652
764,YLR098C,3.6326
765,YML068W,3.6326
766,YMR071C,3.6326
767,YHR111W,7.2652
768,YGL198W,3.6326
769,YLL050C,3.6326
770,YML110C,3.6326
771,YLR293C,3.6326
772,YML109W,3.6326
773,YNL012W,7.2652
774,YNL229C,3.6326
775,YMR317W,25.4282
776,YIL105C,3.6326
777,YGL134W,3.6326
778,YOR161C,7.2652
779,YJR074W,10.8978
780,YGL061C,21.7956
781,YGL166W,3.6326
782,YMR295C,3.6326
783,YHR188C,3.6326
784,YOL061W,3.6326
785,YOR006C,3.6326
786,YHR106W,3.6326
787,YBR281C,14.5304
788,YMR255W,7.2652
789,YLR229C,10.8978
790,YLR321C,7.2652
791,YOR358W,7.2652
792,YOR229W,14.5304
793,YNL218W,3.6326
794,YOR375C,3.6326
795,YKL204W,7.2652
796,YLR435W,3.6326
797,YOR269W,7.2652
798,YNL094W,3.6326
799,YLR208W,3.6326
800,YDR162C,3.6326
801,YKL012W,3.6326
802,YJR122W,10.8978
803,YOR319W,3.6326
804,YLL046C,32.6934
805,YDL017W,3.6326
806,YPL002C,3.6326
807,YHR187W,3.6326
808,YNR052C,10.8978
809,YLR386W,3.6326
810,YPR152C,3.6326
811,YLR390W,29.0608
812,YER112W,3.6326
813,YJR093C,7.2652
814,YPL059W,3.6326
815,YMR092C,7.2652
816,YBR103W,3.6326
817,YHL019C,3.6326
818,YKL001C,7.2652
819,YHR083W,3.6326
820,YGL174W,3.6326
821,YIR025W,3.6326
822,YDR382W,3.6326
823,YGL170C,3.6326
824,YCR063W,3.6326
825,YNL279W,3.6326
826,YFL029C,10.8978
827,YOL130W,7.2652
828,YOR128C,3.6326
829,YDR001C,10.8978
830,YHR185C,43.591199999999986
831,YJR022W,3.6326
832,YOL083W,3.6326
833,YGL249W,3.6326
834,YFR033C,10.8978
835,YMR159C,50.85639999999998
836,YDR328C,3.6326
837,YOR180C,3.6326
838,YFR057W,3.6326
839,YPR020W,3.6326
840,YML038C,7.2652
841,YGL189C,3.6326
842,YJL112W,7.2652
843,YML015C,10.8978
844,YOR020C,3.6326
845,YDR122W,7.2652
846,YJR131W,3.6326
847,YHR184W,3.6326
848,YLR190W,3.6326
849,YER016W,7.2652
850,YIL132C,3.6326
851,YPR062W,10.8978
852,YHR115C,7.2652
853,YDR148C,3.6326
854,YGL030W,3.6326
855,YDL210W,14.5304
856,YKR048C,3.6326
857,YNL093W,7.2652
858,YOR276W,7.2652
859,YKL116C,3.6326
860,YJR086W,7.2652
861,YLR305C,7.2652
862,YLR200W,3.6326
863,YKL002W,14.5304
864,YPR048W,3.6326
865,YPL070W,3.6326
866,YKR083C,7.2652
867,YLR216C,18.163
868,YKL142W,7.2652
869,YHR204W,3.6326
870,YML053C,3.6326
871,YER081W,3.6326
872,YOL012C,3.6326
873,YFR043C,3.6326
874,YLR071C,3.6326
875,YLR303W,3.6326
876,YPR115W,3.6326
877,YDL081C,3.6326
878,YOR132W,3.6326
879,YDR017C,3.6326
880,YNR004W,10.8978
881,YNL333W,3.6326
882,YOR210W,10.8978
883,YNL086W,7.2652
884,YDR071C,3.6326
885,YBR284W,3.6326
886,YML001W,7.2652
887,YKL090W,14.5304
888,YGR158C,3.6326
889,YIL011W,3.6326
890,YKR007W,3.6326
891,YGR122W,3.6326
892,YMR035W,7.2652
893,YAR018C,3.6326
894,YIL160C,3.6326
895,YFR004W,3.6326
896,YDL236W,3.6326
897,YLL019C,7.2652
