index,protein,bc
657,YGR253C,8447.0
658,YNL047C,0.0
659,YML006C,2177.0
660,YDR416W,0.0
661,YER062C,2.0
662,YDL113C,0.0
663,YLL052C,0.0
664,YHR140W,9044.482866916978
665,YGL212W,7188.460619935621
666,YDR206W,4205.6790404040385
667,YLR368W,0.0
668,YGL044C,1.0
669,YDR152W,0.0
670,YCR005C,0.0
671,YLR128W,0.0
672,YMR201C,0.0
673,YJL001W,1.0
674,YKL052C,0.0
675,YNL288W,0.0
676,YMR291W,0.0
677,YOR034C,6157.713852813855
678,YKL130C,2598.0
679,YKL095W,0.0
680,YGR136W,0.0
681,YGL091C,0.0
682,YOR070C,0.0
683,YJL218W,0.0
684,YLR121C,0.0
685,YBL102W,0.0
686,YDR372C,0.0
687,YOR362C,0.0
688,YLR352W,438.00000000000006
689,YJL019W,0.0
690,YOR303W,438.0
691,YHR129C,0.0
692,YOR026W,0.0
693,YLR102C,0.0
694,YHR100C,0.0
695,YPR011C,197.0
696,YER133W,3.0
697,YGL230C,0.0
698,YDR357C,0.0
699,YBR228W,0.0
700,YJR125C,0.0
701,YLR258W,0.0
702,YGR009C,0.0
703,YLR046C,0.0
704,YDR195W,0.0
705,YIL112W,2170.0
706,YDL147W,0.0
707,YDR299W,0.0
708,YOR057W,0.0
709,YNL157W,0.0
710,YML028W,0.0
711,YBR252W,0.0
712,YER021W,0.0
713,YNL233W,0.0
714,YJR076C,0.0
715,YGL158W,0.0
716,YGL127C,2244.585714285714
717,YNL023C,0.0
718,YNL244C,2414.631568431567
719,YDL132W,0.0
720,YML088W,0.0
721,YKL020C,0.0
722,YOR007C,111.0
723,YNL127W,0.0
724,YHR170W,0.0
725,YOR292C,0.0
726,YDR020C,1.0
727,YDL063C,0.0
728,YIR006C,0.0
729,YER019C-A,8.0
730,YAR031W,2179.0
731,YER095W,0.0
732,YDR061W,0.0
733,YFL039C,0.0
734,YLL032C,0.0
735,YDR463W,0.0
736,YAL028W,296.4454754310019
737,YLR275W,0.0
738,YMR004W,0.0
739,YHR207C,3349.0466783216784
740,YDL154W,2044.3575757575757
741,YMR224C,0.0
742,YBL105C,0.0
743,YDL065C,0.0
744,YMR163C,0.0
745,YLR078C,0.0
746,YDR098C,2296.013617376776
747,YDR207C,2612.975091575092
748,YGL112C,9.0
749,YLR215C,0.0
750,YKL013C,0.0
751,YLR135W,1.0
752,YOR127W,0.0
753,YGR154C,0.0
754,YER092W,0.0
755,YIL008W,365.84312354312334
756,YAL032C,0.0
757,YDL179W,0.0
758,YKL039W,0.0
759,YMR223W,930.8817460317453
760,YHR158C,402.1912337662336
761,YPL151C,0.0
762,YCR011C,0.0
763,YDL043C,3.0
764,YLR098C,0.0
765,YML068W,0.0
766,YMR071C,0.0
767,YHR111W,0.0
768,YGL198W,0.0
769,YLL050C,0.0
770,YML110C,0.0
771,YLR293C,0.0
772,YML109W,0.0
773,YNL012W,3024.0
774,YNL229C,0.0
775,YMR317W,12346.116125299826
776,YIL105C,0.0
777,YGL134W,0.0
778,YOR161C,1.0
779,YJR074W,3.0
780,YGL061C,15.0
781,YGL166W,0.0
782,YMR295C,0.0
783,YHR188C,0.0
784,YOL061W,0.0
785,YOR006C,0.0
786,YHR106W,0.0
787,YBR281C,4776.21904761905
788,YMR255W,20.0
789,YLR229C,1835.682417582417
790,YLR321C,0.0
791,YOR358W,2206.2624037289916
792,YOR229W,10146.834755157135
793,YNL218W,0.0
794,YOR375C,0.0
795,YKL204W,0.5
796,YLR435W,0.0
797,YOR269W,1.0
798,YNL094W,0.0
799,YLR208W,0.0
800,YDR162C,0.0
801,YKL012W,0.0
802,YJR122W,1310.0
803,YOR319W,0.0
804,YLL046C,3851.898235098235
805,YDL017W,0.0
806,YPL002C,0.0
807,YHR187W,0.0
808,YNR052C,9.0
809,YLR386W,0.0
810,YPR152C,0.0
811,YLR390W,2965.0478886610467
812,YER112W,0.0
813,YJR093C,0.0
814,YPL059W,0.0
815,YMR092C,438.0
816,YBR103W,0.0
817,YHL019C,0.0
818,YKL001C,438.0
819,YHR083W,0.0
820,YGL174W,0.0
821,YIR025W,0.0
822,YDR382W,0.0
823,YGL170C,0.0
824,YCR063W,0.0
825,YNL279W,0.0
826,YFL029C,1332.4010073260067
827,YOL130W,2.0
828,YOR128C,0.0
829,YDR001C,3.0
830,YHR185C,10961.09505859637
831,YJR022W,0.0
832,YOL083W,0.0
833,YGL249W,0.0
834,YFR033C,14.0
835,YMR159C,6990.827447552459
836,YDR328C,0.0
837,YOR180C,0.0
838,YFR057W,0.0
839,YPR020W,0.0
840,YML038C,0.5
841,YGL189C,0.0
842,YJL112W,862.616666666667
843,YML015C,2644.2624037289925
844,YOR020C,0.0
845,YDR122W,1303.6179706766673
846,YJR131W,0.0
847,YHR184W,0.0
848,YLR190W,0.0
849,YER016W,437.99999999999994
850,YIL132C,0.0
851,YPR062W,9.0
852,YHR115C,4269.011916154026
853,YDR148C,0.0
854,YGL030W,0.0
855,YDL210W,21.0
856,YKR048C,0.0
857,YNL093W,2.0
858,YOR276W,1.0
859,YKL116C,0.0
860,YJR086W,989.1981962481971
861,YLR305C,20.0
862,YLR200W,0.0
863,YKL002W,1544.2499999999998
864,YPR048W,0.0
865,YPL070W,0.0
866,YKR083C,4.0
867,YLR216C,10.0
868,YKL142W,1.0
869,YHR204W,0.0
870,YML053C,0.0
871,YER081W,0.0
872,YOL012C,0.0
873,YFR043C,0.0
874,YLR071C,0.0
875,YLR303W,0.0
876,YPR115W,0.0
877,YDL081C,0.0
878,YOR132W,0.0
879,YDR017C,0.0
880,YNR004W,1308.5000000000002
881,YNL333W,0.0
882,YOR210W,2015.2438644688646
883,YNL086W,1.0
884,YDR071C,0.0
885,YBR284W,0.0
886,YML001W,438.0
887,YKL090W,3436.197943722942
888,YGR158C,0.0
889,YIL011W,0.0
890,YKR007W,0.0
891,YGR122W,0.0
892,YMR035W,438.00000000000006
893,YAR018C,0.0
894,YIL160C,0.0
895,YFR004W,0.0
896,YDL236W,0.0
897,YLL019C,1.0
898,YMR138W,0.0
899,YOR115C,0.0
900,YGR047C,4.625
901,YNL147W,9.0
902,YDR408C,0.0
903,YHR084W,5.0
904,YDL239C,1.0
905,YER162C,438.0
906,YBR274W,2945.697943722942
907,YLR345W,0.0
908,YHR197W,6.0
909,YDR394W,1.0
910,YMR112C,1.0
911,YMR117C,90.0
912,YPR110C,438.0
913,YNL021W,0.0
914,YIL050W,0.0
915,YIL128W,0.0
916,YJR090C,438.0
917,YKL061W,0.0
918,YPL260W,0.0
919,YOR111W,0.0
920,YHR079C,0.0
921,YOR212W,0.0
