index,protein,ec
236,YGR200C,5.172931575403842e-10
237,YMR231W,8.295845444530561e-48
238,YJL148W,0.0005736281514035224
239,YHR039C,0.005419833391380143
240,YNR031C,1.3983311052425218e-36
241,YGR277C,0.00045447952026994283
242,YIL002C,0.0
243,YGR008C,3.208298917936424e-05
244,YML075C,5.943477271473909e-09
245,YDR297W,0.007897033724551509
246,YLL022C,3.0227030091017793e-09
247,YKL145W,5.677399939198376e-06
248,YLR248W,0.0023965444251136015
249,YLR027C,0.004431374031598726
250,YML099C,0.0
251,YJL006C,1.5433877481442331e-49
252,YDR151C,3.408316544205877e-48
253,YDR320C,1.6860487450683206e-05
254,YGL001C,0.0012137878537678477
255,YLR262C,0.0005267185837458529
256,YGL012W,2.8124456836351037e-10
257,YBL056W,7.615624906232734e-43
258,YML106W,0.0021370082697035717
259,YPL043W,1.578654343707128e-06
260,YDR084C,1.5775353425573704e-17
261,YKL190W,6.79296445272197e-38
262,YBR112C,2.45148323893162e-47
263,YLR257W,1.1146604537705979e-10
264,YBR214W,5.606627547014225e-06
265,YDR011W,0.1331608155442012
266,YDL204W,0.0014650563892402034
267,YHR108W,0.0007348988440473587
268,YNL322C,0.0007715197612635247
269,YEL061C,1.8845408365899933e-42
270,YDR272W,7.077976705368867e-07
271,YPR065W,1.0469922782920204e-46
272,YPL170W,3.5916982903065776e-39
273,YER061C,2.7456468941486043e-09
274,YHR104W,0.00018751516373220962
275,YML007W,2.3777573276953606e-29
276,YOL105C,0.05621344984056739
277,YIR037W,0.02520890756585951
278,YOR009W,1.514315487460206e-48
279,YOR018W,0.0004174744720530816
280,YKL046C,0.000564880594902747
281,YLR270W,0.00014067548791109327
282,YGR202C,1.504657701108151e-44
283,YKR067W,0.00044049927726135137
284,YPR138C,0.10006913328781984
285,YNL118C,0.0017682912365856302
286,YPR105C,0.0006989929213565916
287,YKL214C,1.9156258010312016e-44
288,YMR093W,7.869036551042232e-11
289,YNL190W,0.000341267713800172
290,YBL068W,9.530373367164696e-25
291,YJL207C,0.00012829712136010237
292,YBL042C,0.033235608527373506
293,YOR151C,0.0011068346175570325
294,YBR169C,0.004057422982477482
295,YJL076W,2.2547642346217248e-06
296,YMR275C,0.002585733981698552
297,YDL097C,4.491362181437804e-24
298,YDL159W,1.0793589280399461e-48
299,YPR079W,0.00100165077241146
300,YHL007C,0.003446915261992801
301,YJL174W,3.286509653528312e-45
302,YJR117W,0.006884899343564515
303,YHR123W,0.0036284282748265347
304,YNL084C,0.00046619094913623283
305,YIR001C,0.0002970452810202768
306,YNL121C,0.00043537899567390676
307,YJL053W,0.0031617829715510737
308,YNR006W,1.050426479086533e-37
309,YLR291C,1.255341289345856e-05
310,YLR432W,3.968491907133699e-06
311,YHR196W,1.346406464681742e-10
312,YDR497C,0.09471049056511371
313,YOL147C,0.005438402775973882
314,YBL039C,0.0007676350615070255
315,YKL088W,0.014952692293146884
316,YMR139W,0.0002184348612856527
317,YLR288C,1.149996001601685e-10
318,YMR161W,1.3322634387856607e-17
319,YHR003C,0.001934932693986197
320,YNL031C,7.922909552018107e-08
321,YPL265W,0.08317551807615083
322,YLR420W,3.7722382816363296e-06
323,YKL165C,0.0006032087475270764
