index,protein,dc
637,YFR025C,25061.0
638,YBL034C,30641.0
639,YNL214W,37890.0
640,YIL047C,29659.0
641,YGR161C,49808.0
642,YGR173W,137229.0
643,YAR002C-A,1336538.0
644,YGR014W,0.0
645,YGL207W,149626.0
646,YGL055W,401575.0
647,YNL007C,156128.0
648,YPL263C,98912.0
649,YMR167W,26600.0
650,YER002W,29659.0
651,YPL246C,1694596.0
652,YLR336C,54646.0
653,YAR002W,35321.0
654,YNL153C,95516.0
655,YGR080W,71528.0
656,YNL313C,27568.0
657,YGR103W,99225.0
658,YBL004W,24742.0
659,YCR094W,56923.0
660,YNL116W,0.0
661,YMR072W,26600.0
662,YGR229C,506846.0
663,YLR219W,182574.0
664,YMR307W,24218.0
665,YFL048C,363675.0
666,YPL117C,325658.0
667,YIL121W,647450.0
668,YOR133W,109204.0
669,YBR053C,51899.0
670,YGL011C,137077.0
671,YGL020C,25395.0
672,YLR083C,191062.0
673,YKL008C,203838.0
674,YER122C,28203.0
675,YGR048W,26348.0
676,YNR030W,30384.0
677,YDL225W,135085.0
678,YKL078W,29676.0
679,YMR292W,414094.0
680,YML067C,204712.0
681,YIR038C,460439.0
682,YDR499W,36640.0
683,YNL192W,24293.0
684,YGL133W,79373.0
685,YHR023W,32713.0
686,YNL329C,26586.0
687,YOR042W,175166.0
688,YDR100W,1194602.0
689,YOL100W,34232.0
690,YLR454W,60279.0
691,YML012W,1908632.0
692,YGL077C,2688548.0
693,YMR266W,91872.0
694,YHL011C,151519.0
695,YBR052C,1031819.0
696,YDR420W,23118.0
697,YLR172C,53863.0
698,YGR262C,41506.0
699,YKL037W,0.0
700,YLR378C,220302.0
701,YNL290W,49046.0
702,YGR234W,32432.0
703,YPR137W,59804.0
704,YPR055W,34443.0
705,YIL033C,307003.0
706,YGL137W,1028485.0
707,YGR106C,301862.0
708,YPR036W,737560.0
709,YGL120C,303133.0
710,YFR001W,225332.0
711,YHR060W,68687.0
712,YPR124W,31545.0
713,YKL140W,372455.0
714,YOR094W,200069.0
715,YIL038C,557555.0
716,YOR086C,27206.0
717,YNL130C,238652.0
718,YOR004W,60455.0
719,YMR238W,76873.0
720,YDL030W,23541.0
721,YDR398W,314850.0
722,YHR027C,191467.0
723,YOR069W,430279.0
724,YJL164C,129491.0
725,YPL178W,61815.0
726,YLR113W,113901.0
727,YKL041W,51688.0
728,YBR237W,29363.0
729,YNL138W,571466.0
730,YML055W,221419.0
731,YBR244W,234334.0
732,YGR132C,26890.0
733,YMR149W,1236646.0
734,YDL215C,91098.0
735,YMR140W,153661.0
736,YPL057C,110290.0
737,YGR129W,24143.0
738,YLR332W,2100410.0
739,YBR177C,951490.0
740,YOR117W,381426.0
741,YLR223C,24665.0
742,YAL042W,71299.0
743,YGR060W,585419.0
744,YNL016W,598626.0
745,YKL094W,225835.0
746,YDR434W,175675.0
747,YCR009C,145983.0
748,YFL040W,23716.0
749,YJR070C,65051.0
750,YGR253C,53986.0
751,YOR301W,24539.0
752,YDR105C,108674.0
753,YJL109C,101002.0
754,YLR182W,47126.0
755,YLR028C,246183.0
756,YCR077C,382284.0
757,YNL186W,430580.0
758,YKR014C,51261.0
759,YGR054W,473758.0
760,YNR065C,170567.0
761,YDR416W,23118.0
762,YDL113C,95173.0
763,YKL101W,29933.0
764,YNR028W,81786.0
765,YPR032W,52669.0
766,YMR109W,696289.0
767,YLR088W,119849.0
768,YGL212W,26123.0
769,YHR034C,30596.0
770,YKL062W,24785.0
771,YER118C,23896.0
772,YDR152W,235537.0
773,YLR260W,24657.0
774,YNL288W,959195.0
775,YPR156C,797309.0
776,YPL012W,30641.0
777,YBR164C,43833.0
778,YDR507C,85426.0
779,YIR012W,25189.0
780,YKL130C,53907.0
781,YDR289C,88879.0
782,YDR453C,30488.0
783,YCR075C,33655.0
784,YMR128W,24328.0
785,YCL026C-A,23320.0
786,YDR072C,23037.0
787,YGR130C,963124.0
788,YPL094C,234225.0
789,YNL088W,41794.0
790,YHR142W,92231.0
791,YBL102W,746719.0
792,YOR362C,204311.0
793,YGR198W,41868.0
794,YKL051W,2244084.0
795,YGL262W,23112.0
796,YMR105C,342719.0
797,YBL011W,63621.0
798,YGL108C,248089.0
799,YPL145C,367801.0
800,YLL033W,29421.0
801,YPR042C,23008.0
802,YDR501W,1042474.0
803,YKL193C,103152.0
804,YJR125C,61836.0
805,YOR327C,301990.0
806,YLR258W,88185.0
807,YHR133C,117640.0
808,YDL147W,227703.0
809,YOR098C,38799.0
810,YFR051C,755488.0
811,YOR057W,118236.0
812,YDL021W,34253.0
813,YJR033C,24874.0
814,YGR121C,314098.0
815,YKR080W,24558.0
816,YNL106C,54710.0
817,YLR206W,23404.0
818,YLR350W,1019402.0
819,YER021W,156057.0
820,YJR076C,180515.0
821,YIL075C,51251.0
822,YBR106W,1438322.0
823,YIR026C,548052.0
824,YJR040W,58265.0
825,YHR170W,66340.0
826,YJR085C,30488.0
827,YFR040W,142335.0
828,YIR003W,113433.0
829,YPL087W,183562.0
830,YKL079W,27570.0
831,YEL002C,233984.0
832,YNL030W,110208.0
833,YJL060W,133109.0
834,YLR275W,36648.0
835,YHL003C,54701.0
836,YKR023W,55327.0
837,YHR052W,180946.0
838,YBL075C,36811.0
839,YHR207C,29531.0
840,YCL056C,155209.0
841,YMR004W,47020.0
842,YMR261C,44976.0
843,YGR128C,251323.0
844,YAR035W,28675.0
845,YDL065C,140002.0
846,YMR212C,91723.0
847,YGL112C,24652.0
848,YJL192C,357263.0
849,YDR098C,91646.0
850,YGL178W,440896.0
851,YNL248C,58137.0
852,YNL087W,27264.0
853,YKL013C,399729.0
854,YKR089C,27786.0
855,YCL016C,24724.0
856,YOR127W,24434.0
857,YBR264C,29473.0
858,YDL189W,49461.0
859,YOR100C,0.0
860,YBR105C,23578.0
861,YBR041W,625227.0
862,YBR101C,30456.0
863,YDL131W,60477.0
864,YOR145C,72022.0
865,YHR158C,59516.0
866,YDR028C,63497.0
867,YML068W,23275.0
868,YDL043C,23037.0
869,YLR181C,197967.0
870,YML098W,25014.0
871,YNL229C,302356.0
872,YIL105C,468436.0
873,YHR194W,34321.0
874,YNL098C,24005.0
875,YHR098C,93284.0
876,YDR484W,41949.0
877,YGL061C,24549.0
878,YFL047W,49243.0
879,YHR188C,85242.0
880,YOL061W,196304.0
881,YOR081C,188260.0
882,YJR068W,49046.0
883,YDR171W,51840.0
884,YMR255W,31168.0
885,YCR069W,25264.0
886,YKL204W,39173.0
887,YDR354W,54297.0
888,YOR027W,114810.0
889,YLR435W,29021.0
890,YKR035W-A,145512.0
891,YNL255C,523471.0
892,YIL021W,92210.0
893,YML056C,268451.0
894,YLR035C,24762.0
895,YLR170C,66231.0
896,YDR162C,88992.0
897,YJR122W,30297.0
898,YOR120W,28737.0
899,YGR105W,441132.0
900,YOR341W,216207.0
901,YBR070C,49089.0
902,YBR180W,23719.0
903,YHR187W,116520.0
904,YNR052C,436404.0
905,YML120C,52015.0
906,YLR386W,25512.0
907,YER112W,877855.0
908,YGL113W,24904.0
909,YPL059W,25308.0
910,YIL143C,211698.0
911,YOR195W,23503.0
912,YPL006W,86953.0
913,YHR083W,45829.0
914,YGR055W,2907424.0
915,YMR239C,25274.0
916,YJR112W,31052.0
917,YIL043C,98682.0
918,YOR340C,33654.0
919,YIR025W,25398.0
920,YGL094C,59300.0
921,YOR204W,261168.0
922,YFL036W,60073.0
923,YMR123W,123462.0
924,YGR081C,32578.0
925,YDL008W,52294.0
926,YPR052C,292202.0
927,YGR083C,151739.0
928,YOL026C,24724.0
929,YDR486C,104766.0
930,YHR110W,84570.0
931,YAL053W,736286.0
932,YBR265W,34013.0
933,YOR109W,163451.0
934,YLR354C,30004.0
935,YJL115W,29481.0
936,YPL119C,160344.0
937,YPR086W,27469.0
938,YKR072C,302783.0
939,YPL130W,23541.0
940,YJR022W,57128.0
941,YGL043W,67883.0
942,YNL268W,47468.0
943,YCR043C,581932.0
944,YLR371W,56482.0
945,YLR213C,24657.0
946,YMR134W,102082.0
947,YLR129W,80001.0
948,YML038C,51759.0
949,YPL058C,2567071.0
950,YLR421C,51251.0
