rank,protein,driver_score
238,YCL030C,0.6022431899448308
239,YOL017W,0.6021895797654933
240,YBL026W,0.6021722098172242
241,YDL203C,0.6020707347871511
242,YGR279C,0.6016951312879034
243,YDL175C,0.6016763358588316
244,YDR037W,0.6014129752161493
245,YDR227W,0.6012949849684686
246,YPR114W,0.6009722296223047
247,YGR116W,0.6008076707415967
248,YNL262W,0.6007105687396649
249,YOR185C,0.6004755463850824
250,YMR239C,0.6004037231728574
251,YBR127C,0.6000933741511817
252,YCL054W,0.5999669257582083
253,YML035C,0.5998271363018071
254,YNL227C,0.5995326059676159
255,YBR002C,0.5994351762601441
256,YNL069C,0.5990601013356205
257,YMR240C,0.5988859000025422
258,YBL017C,0.5987360998266713
259,YDR207C,0.598567331065392
260,YBL046W,0.5984480141092656
261,YPR070W,0.5984166531916243
262,YNL225C,0.5982476743579874
263,YGR030C,0.5979235684375458
264,YOR243C,0.5979047382288465
265,YIL133C,0.5978340243525896
266,YKR096W,0.5975406959633657
267,YHR169W,0.5974610570628985
268,YDL142C,0.5972455432326068
269,YHR104W,0.5969263583740082
270,YGL238W,0.596644335932486
271,YBL021C,0.5965548174265884
272,YMR302C,0.5962787923645837
273,YER022W,0.5960942891554293
274,YLR310C,0.5960715800170683
275,YDR449C,0.5960297249970076
276,YDR088C,0.595953902688822
277,YKR018C,0.5957423944461666
278,YJR068W,0.5955032645956682
279,YGL244W,0.5953428699599426
280,YER095W,0.5953303732573421
281,YLR257W,0.5950302557677635
282,YGR231C,0.5946931667590878
283,YMR143W,0.5945636091118903
284,YNL127W,0.5944127773338882
285,YML030W,0.5942662240268156
286,YDR068W,0.5939780580813
287,YIR001C,0.59393924102348
288,YNL025C,0.5938619883409062
289,YDL108W,0.5936771869724254
290,YBR207W,0.5935443485584728
291,YHR158C,0.5933129767543524
292,YML059C,0.5931874950978971
293,YMR158W,0.5930885716449846
294,YPR187W,0.5929182395556153
295,YGL049C,0.5926437553945697
296,YLR080W,0.592599625619057
297,YBR162C,0.5923672160255394
298,YPL093W,0.5923525008649979
