rank,protein,driver_score
262,YPL188W,0.6080980402703335
263,YHR184W,0.6078977029884374
264,YJL190C,0.6077588057754062
265,YGR177C,0.6075439625366117
266,YMR014W,0.6073371681762729
267,YPL018W,0.6071617773647994
268,YBL068W,0.6069598625063771
269,YOR232W,0.6068811594818412
270,YNL180C,0.6066823194814785
271,YKL134C,0.6064420515740906
272,YPR016C,0.6062323120854586
273,YIL004C,0.606030700642616
274,YLL033W,0.6058577281742642
275,YDR408C,0.6056397228718952
276,YPL060W,0.605532683067144
277,YIL068C,0.6053221681898456
278,YML064C,0.6052213174178545
279,YMR270C,0.6050968344640159
280,YGR118W,0.6049430702056074
281,YDR508C,0.6047713307683079
282,YNL187W,0.6045799944775624
283,YIL075C,0.6044032747414364
284,YOR171C,0.6042849198624325
285,YOR251C,0.6041156151615475
286,YDR273W,0.6039234817165058
287,YIL162W,0.6037352273989152
288,YEL062W,0.603545009783884
289,YBR106W,0.603403233486928
290,YOL063C,0.6031821435307262
291,YOR159C,0.6030977983575967
292,YPR155C,0.6029276931092876
293,YOL105C,0.602763051006867
294,YGR250C,0.6025866145176534
295,YIL060W,0.6024069738634433
296,YDR121W,0.6022674902820555
297,YCL039W,0.6020744123480027
298,YDR480W,0.6018725208213055
299,YKL103C,0.6017634312857162
300,YOR289W,0.6015555783400166
301,YGL179C,0.6013798341850513
302,YLR088W,0.6011992293320083
303,YPR065W,0.601031357699508
304,YPR032W,0.60085518389494
305,YDR020C,0.6007031795505012
306,YBR211C,0.6005418182867166
307,YDL131W,0.6004316074613851
308,YHR038W,0.6002416901787715
309,YKL194C,0.6000857552501803
310,YMR140W,0.5999018291627618
311,YDR348C,0.5997416994958668
312,YOL148C,0.5995836931726537
313,YGL259W,0.5994246965313441
314,YKL208W,0.5992987600445115
315,YLR054C,0.5991243413046378
316,YOR150W,0.5989733208283899
317,YBR270C,0.5989531326080729
318,YKR034W,0.598843854191823
319,YIL157C,0.5987276217154373
320,YML108W,0.5985619042260304
321,YCL016C,0.5983962294471218
322,YKL034W,0.5982723778661784
323,YOR154W,0.5980844260165336
324,YLR264W,0.5979525117402744
325,YNR015W,0.5978048236433333
326,YHR189W,0.5976272094120342
327,YOR079C,0.5974888496510511
328,YHR040W,0.5973242119944236
329,YLR205C,0.5971731822942181
330,YBR186W,0.5970565334538283
331,YLR293C,0.5969272024743177
332,YER076C,0.5967521479236915
333,YDL233W,0.5965883776296101
334,YOL111C,0.5964627990324284
335,YPL049C,0.5963763233368143
336,YDR251W,0.5962354837718647
337,YNL004W,0.5960514587068751
338,YNL160W,0.5958972897117653
339,YFR022W,0.5957506967846095
340,YDR441C,0.595588563702895
341,YIL007C,0.595439045971182
342,YGR240C,0.5952826744539776
343,YOL091W,0.5951556367631926
344,YOL065C,0.5950064182141548
345,YGR024C,0.5948518014895229
346,YOR252W,0.59472409474052
347,YHR172W,0.5945804087531787
348,YJL179W,0.5944494793058102
349,YOL030W,0.5943382147714608
350,YER161C,0.5941787403209641
351,YCL014W,0.5940363081666886
352,YJR121W,0.593954577680762
353,YBR173C,0.5937696810861113
354,YDR351W,0.5936600552101042
355,YJR065C,0.5934991236467648
356,YKL072W,0.5933295661409234
357,YOR354C,0.5932021927280251
358,YDR183W,0.593059604644525
359,YLL009C,0.5929068190142652
360,YDL108W,0.5927879645441788
361,YKL077W,0.5926563789920739
362,YAR018C,0.5925117528175519
363,YHR177W,0.5923810299739946
364,YOR259C,0.5922817499162759
365,YPR086W,0.5922127013577457
366,YLR081W,0.5921165396064645
367,YPL107W,0.5919966429763762
368,YMR186W,0.5918560581530198
369,YGR263C,0.5917714374057287
370,YGL120C,0.5916049822989325
371,YFL001W,0.5914356395721199
372,YGR126W,0.5912995782388449
373,YIR035C,0.5912048406100988
374,YGL190C,0.591055806295769
375,YMR195W,0.5909409400298371
376,YBR149W,0.590783676928519
377,YDR366C,0.5906788276500861
378,YKL087C,0.5905441397938677
379,YHR195W,0.5903905574371692
380,YDL098C,0.5902572500669276
381,YPR119W,0.5901270931949993
382,YDR418W,0.5900505112159962
383,YAL028W,0.589888323800068
384,YDR308C,0.5897520980901253
385,YPL076W,0.589620042976676
386,YOR173W,0.5895156889613656
387,YGR285C,0.5893621712447009
388,YOR028C,0.5892911363525857
389,YLR387C,0.5891818091517053
390,YHR171W,0.5890596499883995
391,YEL036C,0.5889329818799155
392,YDL154W,0.5888152030547316
393,YNL239W,0.5887115418871696
394,YPL095C,0.5885930332566548
395,YJL124C,0.5884453313702459
396,YPL193W,0.5883253314514295
397,YER104W,0.588206498942446
398,YPL074W,0.5880753226269706
399,YGR149W,0.5879315369707918
400,YLR315W,0.5878400566208137
401,YPL203W,0.5877182927212793
402,YMR184W,0.5875796127529603
403,YLL042C,0.587457504080747
404,YNL212W,0.5873227233809587
405,YIL134W,0.5872108201939519
406,YJR148W,0.5870750900644074
407,YOR190W,0.5869724311257284
408,YAR066W,0.5868430414173065
409,YMR271C,0.586720943698709
410,YJL043W,0.5866080113245136
411,YPR111W,0.586495866208388
