index,protein,dc
654,YMR052W,3.2738
655,YGL144C,3.2738
656,YKR022C,3.2738
657,YGR203W,13.0952
658,YDR092W,3.2738
659,YJL157C,3.2738
660,YBR094W,3.2738
661,YDR476C,9.8214
662,YGR201C,3.2738
663,YNL223W,3.2738
664,YGR250C,6.5476
665,YDR374C,6.5476
666,YOL065C,3.2738
667,YER038C,3.2738
668,YNL243W,6.5476
669,YDL207W,3.2738
670,YHL033C,3.2738
671,YOL135C,6.5476
672,YPR046W,6.5476
673,YPR049C,13.0952
674,YDR489W,6.5476
675,YMR210W,3.2738
676,YNL041C,16.369
677,YDR123C,3.2738
678,YBR205W,3.2738
679,YFR008W,13.0952
680,YDL184C,3.2738
681,Q0085,3.2738
682,YPL003W,3.2738
683,YML016C,3.2738
684,YDR174W,3.2738
685,YJR010W,6.5476
686,YLR254C,3.2738
687,YBL020W,6.5476
688,YDR424C,3.2738
689,YLR245C,26.190400000000004
690,YIL053W,3.2738
691,YDL235C,3.2738
692,YGL238W,9.8214
693,YPR069C,3.2738
694,YPR037C,3.2738
695,YDR378C,3.2738
696,YPL129W,9.8214
697,YNL222W,3.2738
698,YDR240C,3.2738
699,YJR009C,3.2738
700,YLR376C,9.8214
701,YNL135C,9.8214
702,YJL011C,13.0952
703,YKL168C,6.5476
704,YML041C,6.5476
705,YFL010C,9.8214
706,YJL069C,3.2738
707,YIL153W,22.916600000000003
708,YNL314W,9.8214
709,YGL244W,3.2738
710,YJL100W,3.2738
711,YKR064W,3.2738
712,YBL069W,3.2738
713,YLR267W,6.5476
714,YBR057C,22.916600000000003
715,YLR333C,3.2738
716,YNR012W,19.6428
717,YJR130C,3.2738
718,YDR335W,6.5476
719,YLR335W,3.2738
720,YJR050W,3.2738
721,YCR083W,6.5476
722,YKL069W,3.2738
723,YHR161C,13.0952
724,YGR077C,3.2738
725,YBR109C,3.2738
726,YGR061C,3.2738
727,YNL075W,3.2738
728,YBR166C,3.2738
729,YMR213W,3.2738
730,YNL007C,3.2738
731,YPL174C,6.5476
732,YKL122C,3.2738
733,YDL101C,3.2738
734,YNL153C,6.5476
735,YDR527W,3.2738
736,YPR028W,3.2738
737,YKL019W,16.369
738,YGR240C,3.2738
739,YLR108C,3.2738
740,YOL111C,16.369
