dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
116,580240,S000000391,GDT1,NE,,SGD
116,580240,S000000392,NTC20,NE,,SGD
116,580240,S000000393,RPS9B,NE,,SGD
116,580240,S000000394,,E,,SGD
116,580240,S000000395,RPL21A,NE,,SGD
116,580240,S000000396,RIM2,E,,SGD
116,580240,S000000397,MED8,E,,SGD
116,580240,S000000398,AIM4,NE,,SGD
116,580240,S000000399,MSI1,NE,,SGD
116,580240,S000000400,PGI1,E,,SGD
116,580240,S000000401,,NE,,SGD
116,580240,S000000402,TAF5,E,,SGD
116,580240,S000000403,KTR4,NE,,SGD
116,580240,S000000404,BEM1,C,,SGD
116,580240,S000000405,DER1,NE,,SGD
116,580240,S000000406,MCM7,E,,SGD
116,580240,S000000407,COS111,NE,,SGD
116,580240,S000000408,LDH1,NE,,SGD
116,580240,S000000409,KTR3,NE,,SGD
116,580240,S000000410,,NE,,SGD
116,580240,S000000411,FTH1,NE,,SGD
116,580240,S000000412,DUR1,,,
116,580240,S000000413,,NE,,SGD
116,580240,S000000414,ERV15,NE,,SGD
116,580240,S000000415,AME1,E,,SGD
116,580240,S000000416,NGR1,NE,,SGD
116,580240,S000000417,MET8,NE,,SGD
116,580240,S000000418,SDS24,NE,,SGD
116,580240,S000000419,HPC2,NE,,SGD
116,580240,S000000420,YBP1,NE,,SGD
116,580240,S000000421,ATG12,NE,,SGD
116,580240,S000000422,PYC2,NE,,SGD
116,580240,S000000423,,NE,,SGD
116,580240,S000000424,,NE,,SGD
116,580240,S000000425,PDB1,NE,,SGD
116,580240,S000000426,PCS60,NE,,SGD
116,580240,S000000427,TDP1,NE,,SGD
116,580240,S000000428,,NE,,SGD
116,580240,S000000429,,NE,,SGD
116,580240,S000000430,,NE,,SGD
116,580240,S000000431,MCX1,NE,,SGD
116,580240,S000000432,SLX1,NE,,SGD
116,580240,S000000433,ROT2,NE,,SGD
116,580240,S000000434,OM14,NE,,SGD
116,580240,S000000435,SWC5,NE,,SGD
116,580240,S000000436,,NE,,SGD
116,580240,S000000437,PBP2,NE,,SGD
116,580240,S000000438,ARC40,C,,SGD
116,580240,S000000439,VHC1,NE,,SGD
116,580240,S000000440,ABD1,E,,SGD
116,580240,S000000441,PRP5,E,,SGD
116,580240,S000000442,,NE,,SGD
116,580240,S000000443,ERT1,NE,,SGD
116,580240,S000000444,THI2,NE,,SGD
116,580240,S000000445,,NE,,SGD
116,580240,S000000446,,NE,,SGD
116,580240,S000000447,ALG7,E,,SGD
116,580240,S000000448,GPX2,NE,,SGD
116,580240,S000000449,ISW1,NE,,SGD
116,580240,S000000450,RRT2,NE,,SGD
116,580240,S000000451,ENP1,E,,SGD
116,580240,S000000452,HIS7,NE,,SGD
116,580240,S000000453,ARO4,NE,,SGD
116,580240,S000000454,SPO23,NE,,SGD
116,580240,S000000455,MRPS5,NE,,SGD
116,580240,S000000456,DUT1,C,,SGD
116,580240,S000000457,SRB6,E,,SGD
116,580240,S000000458,TRS20,E,,SGD
116,580240,S000000459,MTC4,NE,,SGD
116,580240,S000000460,RIB5,E,,SGD
116,580240,S000000461,POP4,E,,SGD
116,580240,S000000462,SHG1,NE,,SGD
116,580240,S000000463,,NE,,SGD
116,580240,S000000464,RGD1,NE,,SGD
116,580240,S000000465,TAE1,NE,,SGD
116,580240,S000000466,MIC12,NE,,SGD
116,580240,S000000467,SHM1,NE,,SGD
116,580240,S000000468,YPT10,NE,,SGD
116,580240,S000000469,TSC10,E,,SGD
116,580240,S000000470,SLM6,NE,,SGD
116,580240,S000000471,REI1,NE,,SGD
116,580240,S000000472,MRPL37,NE,,SGD
116,580240,S000000473,SDH8,NE,,SGD
116,580240,S000000474,BIT2,NE,,SGD
116,580240,S000000475,EFM2,NE,,SGD
116,580240,S000000476,HSM3,NE,,SGD
116,580240,S000000477,UBX7,NE,,SGD
116,580240,S000000478,CHK1,NE,,SGD
116,580240,S000000479,RIF1,NE,,SGD
116,580240,S000000480,PPS1,NE,,SGD
116,580240,S000000481,,NE,,SGD
116,580240,S000000482,DPB3,NE,,SGD
116,580240,S000000483,PAF1,NE,,SGD
116,580240,S000000484,SAF1,NE,,SGD
116,580240,S000000485,DUG2,NE,,SGD
116,580240,S000000486,MRPL27,NE,,SGD
116,580240,S000000487,SSH1,NE,,SGD
116,580240,S000000488,,NE,,SGD
116,580240,S000000489,,NE,,SGD
116,580240,S000000490,APE3,NE,,SGD
116,580240,S000000491,,NE,,SGD
116,580240,S000000492,APM3,NE,,SGD
116,580240,S000000493,SNF5,NE,,SGD
116,580240,S000000494,BSD2,NE,,SGD
116,580240,S000000495,CTP1,NE,,SGD
116,580240,S000000496,,NE,,SGD
116,580240,S000000497,VBA2,NE,,SGD
116,580240,S000000498,SUL1,NE,,SGD
116,580240,S000000499,PCA1,NE,,SGD
116,580240,S000000500,PHO89,NE,,SGD
116,580240,S000000501,MAL33,NE,,SGD
116,580240,S000000502,MAL31,NE,,SGD
116,580240,S000000504,,NE,,SGD
116,580240,S000000505,PAU24,NE,,SGD
116,580240,S000000507,RER1,NE,,SGD
116,580240,S000000508,,NE,,SGD
116,580240,S000000510,PGS1,E,,SGD
116,580240,S000000511,LDB16,NE,,SGD
116,580240,S000000513,,NE,,SGD
116,580240,S000000514,STP22,NE,,SGD
116,580240,S000000515,ILV6,NE,,SGD
116,580240,S000000516,SGF29,NE,,SGD
116,580240,S000000517,GBP2,NE,,SGD
116,580240,S000000520,BUD3,NE,,SGD
116,580240,S000000521,DCC1,NE,,SGD
116,580240,S000000522,NFS1,E,,SGD
116,580240,S000000527,,NE,,SGD
116,580240,S000000528,,NE,,SGD
